reviewerName;subject;date;stars;comment;recipientMatricola
Andrea Tonini;Programmazione;06-05-2026;4;3636989
Laura Bianchi;Analisi Matematica I;10-12-2025;5;Ottima tutor! Molto preparata e paziente. Mi ha aiutato tantissimo con gli integrali.;3636989
Marco Rossi;Fisica;05-12-2025;4;Bravissima, mi ha spiegato i concetti di termodinamica in modo molto chiaro.;3636989
Niki Hammond;Programmazione;28-11-2025;5;Fantastica! Ha trasformato Java da incubo a realtà. Molto disponibile.;3636989
9999;Test Materia;02-08-2026;4;Esperienza positiva;0001
Anna Rossi;Basi di dati;02-08-2026;4;Buona spiegazione, offrirei puù materiale.;0006478154
niki hammond;OOP;03-08-2026;4;BRAVA!;2222222222
Marco Verdi;Basi di Dati;03-08-2026;5;Ottima lezione;0006478154
Giulia Rossi;Programmazione web;03-08-2026;5;Ho compreso molto meglio gli argomenti;0006478154
niki hammond;OOP;28-08-2026;5;Molto d'aiuto;2222222222
Anna Rossi;Programmazione web;11-08-2026;5;Tutor molto chiara e precisa;0006478154
